,movie_title,year,star_cast,rating
225,Spotlight,2015,"Tom McCarthy (dir.), Mark Ruffalo, Michael Keaton",8.041242578561276
226,Amores perros,2000,"Alejandro G. Iñárritu (dir.), Emilio Echevarría, Gael García Bernal",8.040501689191634
227,Kaze no tani no Naushika,1984,"Hayao Miyazaki (dir.), Sumi Shimamoto, Mahito Tsujimura",8.036022606269704
228,Rang De Basanti,2006,"Rakeysh Omprakash Mehra (dir.), Aamir Khan, Soha Ali Khan",8.035956830359895
229,Rocky,1976,"John G. Avildsen (dir.), Sylvester Stallone, Talia Shire",8.034858290819704
230,La haine,1995,"Mathieu Kassovitz (dir.), Vincent Cassel, Hubert Koundé",8.034733120085058
231,Gangs of Wasseypur,2012,"Anurag Kashyap (dir.), Manoj Bajpayee, Richa Chadha",8.033607494409853
232,"Monsters, Inc",2001,"Pete Docter (dir.), Billy Crystal, John Goodman",8.032313343746225
233,Rebecca,1940,"Alfred Hitchcock (dir.), Laurence Olivier, Joan Fontaine",8.03162590080136
234,Portrait de la jeune fille en feu,2019,"Céline Sciamma (dir.), Noémie Merlant, Adèle Haenel",8.023962819379788
235,Before Sunset,2004,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy",8.019559469724
236,Het gebeurde op 'n avond,1934,"Frank Capra (dir.), Clark Gable, Claudette Colbert",8.018059912566533
237,The Circus,1928,"Charles Chaplin (dir.), Charles Chaplin, Merna Kennedy",8.017539785586
238,Fa yeung nin wah,2000,"Kar-Wai Wong (dir.), Tony Chiu-Wai Leung, Maggie Cheung",8.017490658317108
239,"Paris, Texas",1984,"Wim Wenders (dir.), Harry Dean Stanton, Nastassja Kinski",8.015995497170337
240,Drishyam,2015,"Nishikant Kamat (dir.), Ajay Devgn, Shriya Saran",8.015905798912438
241,Contratiempo,2016,"Oriol Paulo (dir.), Mario Casas, Ana Wagener",8.012897049047739
242,The Help,2011,"Tate Taylor (dir.), Emma Stone, Viola Davis",8.012157861473653
243,The Princess Bride,1987,"Rob Reiner (dir.), Cary Elwes, Mandy Patinkin",8.011739355415854
244,De slag om Algiers,1966,"Gillo Pontecorvo (dir.), Brahim Hadjadj, Jean Martin",8.009209973760667
245,De uitroeier,1984,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton",8.009057720190405
246,"Swades: We, the People",2004,"Ashutosh Gowariker (dir.), Shah Rukh Khan, Gayatri Joshi",8.007217748404532
247,Kumonosu-jô,1957,"Akira Kurosawa (dir.), Toshirô Mifune, Minoru Chiaki",8.00719521657949
248,Trois couleurs: Rouge,1994,"Krzysztof Kieslowski (dir.), Irène Jacob, Jean-Louis Trintignant",8.007098435073521
249,Lagaan: Once Upon a Time in India,2001,"Ashutosh Gowariker (dir.), Aamir Khan, Raghuvir Yadav",8.00703547313608
