name,address,cost_per_two,timings,category,cusine,detailed_address,featured_in,discount
DwarkAmrit,Airport Gandhinagar Highway,₹700,"11am – 3pm, 7pm – 11pm (Mon-Sun)",Casual Dining,Gujarati," Service Lane Koba Circle, Opposite Kamalam, Airport Gandhinagar Highway, Gandhinagar",,NULL
The Good Bowl,Airport Gandhinagar Highway,₹500,10am – 1am (Mon-Sun),NULL,"Asian,Biryani,North Indian", Delivery Only,,NULL
Rajwadi Bhojanalay,"Sector 16, Gandhinagar",₹200,"11am – 3pm, 6pm – 10pm (Mon-Sun)",Bhojanalya,Gujarati," 2, GH Road, Near INOX R16, Sector 16, Gandhinagar",,NULL
Jay Matarani Doodh Bhandar,Infocity,₹100,8am – 10:30pm (Mon-Sun),Beverage Shop,"Beverages,Ice Cream"," Shop 2, Super Mall 2, Infocity, Gandhinagar",,NULL
Ovenstory Pizza,Airport Gandhinagar Highway,₹400,11am – 1am (Mon-Sun),NULL,"Fast Food,Italian,Pizza"," C-19-20, Swagat Rainforest 2, Village Kudasan, Ta & District, Airport Gandhinagar Highway, Gandhinagar",,NULL
Jay Bhavani Vadapav,Infocity,₹400,10:30am – 10:30pm (Mon-Sun),Quick Bites,"Fast Food,South Indian,Sandwich,Chinese,Street Food,Beverages"," 48, Super Mall 2, GH-0, Infocity, Gandhinagar",,NULL
M.L.F Franco,Airport Gandhinagar Highway,₹300,"12noon – 10pm (Mon-Sat),5pm – 11pm (Sun)",Quick Bites,"Fast Food,Beverages"," GF 53, Radhe Square, Near Reliance Chowkdi, Kudasan, Airport Gandhinagar Highway, Gandhinagar",,NULL
Firangi Bake,Airport Gandhinagar Highway,₹400,11am – 1am (Mon-Sun),NULL,"Mexican,Italian,Desserts", Delivery Only,,NULL
Vishwakarma,"Chopati, Sector 16",₹400,8am – 11:30pm (Mon-Sun),Quick Bites,"North Indian,Fast Food,Chinese,Gujarati"," 69, GH-5, Chopati, Sector 16, Gandhinagar",,NULL
Shree Sai South Indian Hotel,Infocity,₹150,"11am – 3pm, 6pm – 11pm (Mon-Sun)",Quick Bites,South Indian," 21, Super Mall 2, Infocity, Gandhinagar",,NULL
Kum Kum Restaurant,"Sector 16, Gandhinagar",₹600,"11am – 3:30pm, 6:30pm – 11pm (Mon-Sun)",Casual Dining,"North Indian,Chinese,Continental"," C - 9, Patnagar Yojna Bhavan, Sector 16, Gandhinagar",,NULL
Raju Omlet,Airport Gandhinagar Highway,₹300,10am – 10pm (Mon-Sun),Quick Bites,Fast Food," 64, Radhe Square, Reliance Chowk, Kudasan, Airport Gandhinagar Highway",,NULL
Raju Omlet,Airport Gandhinagar Highway,₹300,10am – 10pm (Mon-Sun),Quick Bites,Fast Food," 64, Radhe Square, Reliance Chowk, Kudasan, Airport Gandhinagar Highway",,NULL
